Customer_ID,Action_ID,Action,Reward
C00001,4,Investment Offer,0.45729790299879186
C00002,2,Credit Card Offer,0.710248151510444
C00003,3,Personal Loan Offer,0.5253975140666381
C00004,3,Personal Loan Offer,0.48144079568922094
C00005,1,Savings Offer,0.2632100009634118
C00006,2,Credit Card Offer,0.16590898466864568
C00007,4,Investment Offer,1.0736075681363697
C00008,3,Personal Loan Offer,0.7518637406582594
C00009,0,No Offer,0.2439204102538618
C00010,2,Credit Card Offer,0.4628434437221072
C00011,4,Investment Offer,0.6801530209889455
C00012,1,Savings Offer,0.05252517430148029
C00013,2,Credit Card Offer,0.5117126871156779
C00014,1,Savings Offer,0.6915485605996237
C00015,4,Investment Offer,0.6219887962980315
C00016,4,Investment Offer,0.7110258928911537
C00017,3,Personal Loan Offer,0.5135664044669788
C00018,3,Personal Loan Offer,0.626581599445875
C00019,3,Personal Loan Offer,1.0482886774960787
C00020,2,Credit Card Offer,0.7689124339685476
C00021,2,Credit Card Offer,0.41657736172941834
C00022,3,Personal Loan Offer,0.48088531676195906
C00023,3,Personal Loan Offer,0.5913646606405529
C00024,0,No Offer,-0.057037056607167416
C00025,0,No Offer,-0.030824425149720752
C00026,3,Personal Loan Offer,0.06231094236198256
C00027,2,Credit Card Offer,0.620812271982363
C00028,4,Investment Offer,0.37413305496151683
C00029,2,Credit Card Offer,0.26828724627226574
C00030,3,Personal Loan Offer,0.2947606304981524
C00031,4,Investment Offer,0.21519251039264603
C00032,3,Personal Loan Offer,0.8969475449683739
C00033,4,Investment Offer,0.5709828227446023
C00034,4,Investment Offer,0.410125697534561
C00035,2,Credit Card Offer,0.5066440387873116
C00036,3,Personal Loan Offer,0.5234374605172317
C00037,0,No Offer,0.22176270760806005
C00038,0,No Offer,0.04008934657860391
C00039,2,Credit Card Offer,0.2957918665042957
C00040,4,Investment Offer,0.11420530244505422
C00041,3,Personal Loan Offer,0.45079022573528027
C00042,3,Personal Loan Offer,0.76953211642312
C00043,2,Credit Card Offer,0.13799774910528384
C00044,0,No Offer,-0.07313452890342084
C00045,1,Savings Offer,0.8299982589534916
C00046,2,Credit Card Offer,0.3881946921815165
C00047,0,No Offer,0.5377462350752635
C00048,1,Savings Offer,0.3175580133762481
C00049,3,Personal Loan Offer,0.20515223622458773
C00050,0,No Offer,0.10380505713509669
C00051,1,Savings Offer,0.7695913172142332
C00052,3,Personal Loan Offer,0.41624081228483606
C00053,1,Savings Offer,0.12654920234401418
C00054,0,No Offer,-0.12080916732324838
C00055,2,Credit Card Offer,0.4516466458966713
C00056,4,Investment Offer,1.1979721984125002
C00057,3,Personal Loan Offer,0.4030545453424331
C00058,0,No Offer,-0.14740993807184327
C00059,4,Investment Offer,0.4124669868015941
C00060,2,Credit Card Offer,-0.03392526956576358
C00061,1,Savings Offer,0.5685662344148507
C00062,0,No Offer,-0.02436354825417074
C00063,3,Personal Loan Offer,0.6614677666864843
C00064,1,Savings Offer,0.659375668256092
C00065,0,No Offer,-0.12677305423712537
C00066,4,Investment Offer,0.7972222972882417
C00067,3,Personal Loan Offer,0.29112251412551904
C00068,3,Personal Loan Offer,0.45887745345672876
C00069,1,Savings Offer,0.7459438987264543
