Image,Label
normal_000.png,Normal
normal_001.png,Normal
normal_002.png,Normal
normal_003.png,Normal
normal_004.png,Normal
normal_005.png,Normal
normal_006.png,Normal
normal_007.png,Normal
normal_008.png,Normal
normal_009.png,Normal
normal_010.png,Normal
normal_011.png,Normal
normal_012.png,Normal
normal_013.png,Normal
normal_014.png,Normal
normal_015.png,Normal
normal_016.png,Normal
normal_017.png,Normal
normal_018.png,Normal
normal_019.png,Normal
normal_020.png,Normal
normal_021.png,Normal
normal_022.png,Normal
normal_023.png,Normal
normal_024.png,Normal
normal_025.png,Normal
normal_026.png,Normal
normal_027.png,Normal
normal_028.png,Normal
normal_029.png,Normal
normal_030.png,Normal
normal_031.png,Normal
normal_032.png,Normal
normal_033.png,Normal
normal_034.png,Normal
normal_035.png,Normal
normal_036.png,Normal
normal_037.png,Normal
normal_038.png,Normal
normal_039.png,Normal
normal_040.png,Normal
normal_041.png,Normal
normal_042.png,Normal
normal_043.png,Normal
normal_044.png,Normal
normal_045.png,Normal
normal_046.png,Normal
normal_047.png,Normal
normal_048.png,Normal
normal_049.png,Normal
normal_050.png,Normal
normal_051.png,Normal
normal_052.png,Normal
normal_053.png,Normal
normal_054.png,Normal
normal_055.png,Normal
normal_056.png,Normal
normal_057.png,Normal
normal_058.png,Normal
normal_059.png,Normal
normal_060.png,Normal
normal_061.png,Normal
normal_062.png,Normal
normal_063.png,Normal
normal_064.png,Normal
normal_065.png,Normal
normal_066.png,Normal
normal_067.png,Normal
normal_068.png,Normal
normal_069.png,Normal
normal_070.png,Normal
normal_071.png,Normal
normal_072.png,Normal
normal_073.png,Normal
normal_074.png,Normal
normal_075.png,Normal
normal_076.png,Normal
normal_077.png,Normal
normal_078.png,Normal
normal_079.png,Normal
normal_080.png,Normal
normal_081.png,Normal
normal_082.png,Normal
normal_083.png,Normal
normal_084.png,Normal
normal_085.png,Normal
normal_086.png,Normal
normal_087.png,Normal
normal_088.png,Normal
normal_089.png,Normal
normal_090.png,Normal
normal_091.png,Normal
normal_092.png,Normal
normal_093.png,Normal
normal_094.png,Normal
normal_095.png,Normal
normal_096.png,Normal
normal_097.png,Normal
normal_098.png,Normal
normal_099.png,Normal
damaged_000.png,Damaged
damaged_001.png,Damaged
damaged_002.png,Damaged
damaged_003.png,Damaged
damaged_004.png,Damaged
damaged_005.png,Damaged
damaged_006.png,Damaged
damaged_007.png,Damaged
damaged_008.png,Damaged
damaged_009.png,Damaged
damaged_010.png,Damaged
damaged_011.png,Damaged
damaged_012.png,Damaged
damaged_013.png,Damaged
damaged_014.png,Damaged
damaged_015.png,Damaged
damaged_016.png,Damaged
damaged_017.png,Damaged
damaged_018.png,Damaged
damaged_019.png,Damaged
damaged_020.png,Damaged
