No Offer,Savings Offer,Credit Card Offer,Personal Loan Offer,Investment Offer
0.08977825730372313,0.5611001122908322,0.4286626915118139,0.48563836476647526,0.6405473709610802
0.04170209243367364,0.37554822944980726,0.38877780027183456,0.5898333976742226,0.4583871170482294
0.02419893183736203,0.10963998840369193,0.5170174448595796,0.19512775005727676,0.2558861361965123
0.03437898843120001,0.5225345825184574,0.4512801586487416,0.38347700000279805,0.7558621006513372
0.05167166497711477,0.5583817434153977,0.30530752765838726,0.22690174136072164,0.46555518655605665
0.03076333160462605,0.35173911628251,0.5341694065552057,0.745610380064512,0.5377456087063035
0.0220298268965096,0.7096801012605582,0.512116196414599,0.5856601459968028,1.0002941837799466
0.02349949971396593,0.6521226626982182,0.26391780797211134,0.4061580803444431,0.8610092071149251
0.06471957203089475,0.4096943641472899,0.3402802131867536,0.24542462851467584,0.5269427834836614
0.06130649464451393,0.5116564357342736,0.3279116333470469,0.3107698909825405,0.4485842146878508
0.05209628920962486,0.4251609421037513,0.5391115755335709,0.412006036069236,0.6183721664391327
0.03191316679657178,0.300206182854201,0.32034413856424937,0.4110741966850414,0.8816351535347684
0.05513785451472953,0.32456920098291087,0.5303380995725984,0.4225799528196777,0.42963128483131535
0.041435502846675784,0.5180522426186807,0.5993920951898921,0.7101606554198324,0.9368849313329832
0.07291132900352751,0.6020865783326612,0.5116545249690062,0.517109744688405,0.7202875411018357
0.038301544128852436,0.5708753050374482,0.33449893853521057,0.13379399821124113,0.5174133054625707
0.02566507290324058,0.18304479035684112,0.5088464489903124,0.3715635453193712,0.3110163260891578
0.03787263489230262,0.33698944529443886,0.4083980300373279,0.3277425424711064,0.3331092424754167
0.06440622260416543,0.491569129205029,0.41685707212131123,0.49943253262470516,0.5999957590756898
0.014053833018275307,0.42427745491321756,0.45597436902059874,0.4517637879233709,0.8639611473510842
0.01629983924723245,0.18818970220582748,0.6772791212280667,0.3018027277295961,0.24495839375930134
0.046065912858197645,0.1527519501272453,0.38150887557358193,0.5101989618466511,0.3350477652104914
0.06929201066031895,0.3070279405051675,0.12665471287711744,0.07032009468479375,0.14216507676283097
