Hazard_Ratio,HR_Lower_95,HR_Upper_95,P_Value
5.054577091755406,2.6823792829399684,9.524659595676694,5.379424433017763e-07
1.2173753763706912,1.0700673330990822,1.3849621992492473,0.002798120765460306
1.154033983993111,0.8125632847357143,1.6390039535741239,0.423493737878577
1.1451276014716505,0.9680520383013584,1.354593732329911,0.11384872907746667
1.1385818649696806,0.6435667766492253,2.014349886094911,0.6556957430302408
0.9999999907009184,0.9999999755931643,1.0000000058086727,0.22766659961798233
0.9998230636756829,0.9880173038740014,1.0117698897966974,0.9767065222847674
0.9912483989571906,0.9866187144397575,0.9958998081575406,0.00023315600709647072
0.9878280066326489,0.9529476029742093,1.0239851253545174,0.5043230472872424
0.9810303625839021,0.9749862774412452,0.9871119159105293,1.248163907898057e-09
0.7595851123182658,0.6590855140029122,0.8754092308164476,0.000146084563469555
